CÓDIGO DE GRUPO,NOMBRE DEL GRUPO,LÍDER DEL GRUPO,INSTITUCIONES QUE LO AVALAN,GRUPO RECONOCIDO,GRUPO INSCRITO PARA MEDICIÓN,CLASIFICACIÓN DEL GRUPO
COL0083849,"GRUPO DE INVESTIGACIÓN EN MICROBIOLOGÍA Y GE-
NÉTICA",JORGE LUIS FUEN- TES LORENZO,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,B
COL0008011,"GRUPO DE INVESTIGACIÓN EN ELECTROCARDIOGRA-
FÍA",OSCAR LEONEL RUEDA OCHOA,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0010869,"GRUPO DE INVESTIGACIÓN EN RECURSOS HÍDRICOS Y
SANEAMIENTO AMBIENTAL",EDGAR RICARDO OVIEDO OCAÑA,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0011394,"GRUPO DE INVESTIGACIÓN EN GEOLOGÍA DE HIDRO-
CARBUROS Y CARBONES",MARIO GARCÍA GONZÁLEZ,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0018831,"MODELAMIENTO DE PRO- CESOS DE HIDROCARBU-
ROS","FERNANDO ENRI- QUE CALVETE GON-
ZÁLEZ",UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0020731,GINO,CARLOS HERNÁN BECERRA MOJICA,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0026323,GRUPO DE INVESTIGACIÓN EN POLÍMEROS,"GUSTAVO EMILIO RAMIREZ CABA-
LLERO",UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0034719,"HISTORIA, ARCHIVÍSTICA Y REDES DE INVESTIGACIÓN",IVONNE SUÁREZ PINZÓN,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0050739,CULTURA Y NARRACIÓN EN COLOMBIA,ANA CECILIA OJEDA AVELLANEDA,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0079059,PROINAPSA UIS,BLANCA PATRICIA MANTILLA URIBE,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0084775,ALCOM,WILSON OLAYA LEÓN,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0154744,CÓMPUTO AVANZADO Y A GRAN ESCALA,"GABRIEL RODRIGO PEDRAZA FE-
RREIRA",UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,C
COL0005421,"GEOMÁTICA, GESTIÓN Y OPTIMIZACIÓN DE SISTE-
MAS",HERNÁN PORRAS DÍAZ,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,Reconocido
COL0011222,GRUPO DE INVESTIGACION EN GENETICA HUMANA UIS,CLARA INÉS VAR- GAS CASTELLANOS,UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,Reconocido
COL0023419,TIEMPO CERO,"JORGE FRANCISCO MALDONADO SE-
RRANO",UNIVERSIDAD INDUSTRIAL DE SAN- TANDER - UIS,,Sí,Reconocido
COL0001066,CIBIMOL,ELENA STASHENKO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0002107,"CENTRO DE ESTUDIOS E INVESTIGACIONES AM-
BIENTALES","MARIANNY YAJAIRA COMBARIZA MON-
TANEZ",UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0002368,CENTRO DE INVESTIGACIONES EN CATÁLISIS,"VICTOR GABRIEL
BALDOVINO ME- DRANO",UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0008979,"GRUPO DE INVESTIGACIO- NES EN MINERALES, BIOHI- DROMETALURGIA Y AM-
BIENTE",DIONISIO ANTONIO LAVERDE CATAÑO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0009609,"GRUPO DE INVESTIGACIÓN EN CONTROL, ELECTRÓ- NICA, MODELADO Y SIMU-
LACIÓN - CEMOS",FRANKLIN ALEXÁNDER SEPÚL- VEDA SEPÚLVEDA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0011115,"GRUPO DE INVESTIGACIÓN EN TECNOLOGÍAS DE VA- LORIZACIÓN DE RESIDUOS Y FUENTES AGRÍCOLAS E INDUSTRIALES PARA LA SUSTENTABILIDAD ENER-
GÉTICA - INTERFASE",MARIA PAOLA MA- RADEI GARCIA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0023976,"GRUPO DE INVESTIGACIÓN EN DEMOGRAFIA, SALUD PUBLICA Y SISTEMAS DE
SALUD - GUINDESS",FLOR DE MARÍA CÁ- CERES MANRIQUE,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0028874,"GRUPO DE INVESTIGACIÓN EN DESARROLLO Y TEC- NOLOGÍA DE NUEVOS MA-
TERIALES",ELCY MARÍA CÓR- DOBA TUTA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0135847,"CENTRO DE CROMATO- GRAFÍA Y ESPECTROME- TRÍA DE MASAS CROM-
MASS",ELENA STASHENKO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0156702,"GRUPO DE INVESTIGACIÓN EN DISEÑO DE ALGORIT- MOS Y PROCESAMIENTO DE DATOS MULTIDIMEN-
SIONALES",HENRY ARGUELLO FUENTES,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A1
COL0009583,"GRUPO DE INVESTIGACIÓN EN CONECTIVIDAD Y PRO- CESAMIENTO DE SEÑALES
- CPS",ANA RAMIREZ SILVA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A
COL0025709,"GRUPO DE INVESTIGACION EN FISICOQUIMICA TEO- RICA Y EXPERIMENTAL -
GIFTEX",CRISTIAN BLANCO TIRADO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A
COL0052762,"ERGONOMÍA, PRODUCTO Y SIGNIFICADO- GEPS",MARÍA FERNANDA MARADEI GARCÍA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,A
COL0010539,"GRUPO DE INVESTIGACIÓN SOBRE DESARROLLO RE- GIONAL Y ORDENAMIENTO
TERRITORIAL",AMADO ANTONIO GUERRERO RIN- CÓN,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,B
COL0014153,"OBSERVATORIO EPIDE- MIOLÓGICO DE NUTRICIÓN Y ENFERMEDADES CRÓNI-
CAS",OSCAR FERNANDO HERRÁN FALLA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,B
COL0030881,"GRUPO DE INVESTIGACIÓN EN SISTEMAS Y TECNOLO- GÍA DE LA INFORMACIÓN
STI",LUIS CARLOS GÓ- MEZ FLÓREZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,B
COL0031207,"GRUPO OPALO (GRUPO EN OPTIMIZACIÓN Y ORGANI- ZACIÓN DE SISTEMAS PRODUCTIVOS,  ADMINIS-
TRATIVOS Y LOGÍSTICOS)",CARLOS EDUARDO DÍAZ BOHÓRQUEZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,B
COL0076119,"GRUPO DE INVESTIGACIÓN ESTUDIOS EN MICROECO- NOMÍA APLICADA Y REGU-
LACIÓN - EMAR",ALEXANDRA COR- TÉS AGUILAR,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,B
COL0008165,"GRUPO DE ESTUDIO E IN- VESTIGACIÓN EN TECNO- LOGÍAS Y EDUCACIÓN
GENTE",JORGE WINSTON BARBOSA CHACÓN,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0009494,"GRUPO DE INVESTIGACIÓN EN BIOTECNOLOGÍA INDUSTRIAL Y BIOLOGÍA MO-
LECULAR",JORGE HERNÁNDEZ TORRES,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0011259,"GRUPO DE INVESTIGACIO- NES HISTÓRICAS SOBRE EL ESTADO NACIONAL CO-
LOMBIANO",JUAN ALBERTO RUEDA CARDOZO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0032492,"GRUPO NACIONAL DE IN- VESTIGACIÓN EN ECOFI- SIOLOGIA VEGETAL & ECO- SISTEMAS TERRESTRES-
GIEFIVET",NELSON RODRÍ- GUEZ LÓPEZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0067934,"GRUPO DE INVESTIGACION EN SISTEMAS DINÁMICOS MULTIFÍSICOS, CONTROL Y ROBOTICA; GRUPO DE IN-
VESTIGACIÓN DICBOT",CARLOS BORRAS PINILLA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0089314,"GLOTTA: GRUPO DE IN- VESTIGACIONES  EN DI- DÁCTICAS DEL LENGUAJE, LAS LENGUAS Y LA LITE-
RATURA",JESÚS HERNANDO MOTATO CAMELO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0091429,"GRUPO DE INVESTIGACION EN ROBOTICA DE SERVI- CIO Y DISEÑO INDUSTRIAL
GIROD",JOHN FABER AR- CHILA DIAZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,C
COL0002269,"CENTRO DE INVESTIGA- CION PARA EL DESARRO- LLO SOSTENIBLE EN IN-
DUSTRIA Y ENERGIA",VIATCHESLAV KAFAROV,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,No,Reconocido
COL0009977,"GRUPO DE INVESTIGACIÓN EN MATERIALES Y ES- TRUCTURAS DE CONS-
TRUCCIÓN INME",RICARDO ALFREDO CRUZ HERNANDEZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,No,Reconocido
COL0032741,"GRUPO DE INVESTIGACIÓN EN PATOLOGÍA ESTRUC- TURAL, FUNCIONAL Y CLÍ-
NICA",OLGA MERCEDES ALVAREZ OJEDA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,Reconocido
COL0169059,"GRUPO DE INVESTIGACIÓN EN COMPUESTOS ORGÁNI- COS DE INTERÉS MEDICI-
NAL (CODEIM)",ARNOLD RAFAEL ROMERO BOHÓR- QUEZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,,Sí,Reconocido
COL0024579,PAIDOS,LUIS ALFONSO DÍAZ MARTÍNEZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS; EM- PRESA SOCIAL DEL ESTADO HOS- PITAL UNIVERSI- TARIO DE SAN- TANDER,,Sí,B
COL0005449,GRUPO PARA LA RENOVA- CIÓN EDUCATIVA DE LA MEDICINA INTERNA - GER- MINA,JESÚS SOLIER IN- SUASTY ENRÍQUEZ,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS; EM- PRESA SOCIAL DEL ESTADO HOS- PITAL UNIVERSI- TARIO DE SAN- TANDER,,Sí,C
COL0034521,GRUPO DE INVESTIGACIÓN EN CIRUGÍA Y ESPECIALI- DADES GRICES-UIS,JOSÉ LUIS OSMA RUEDA,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS; EM- PRESA SOCIAL DEL ESTADO HOS- PITAL UNIVERSI- TARIO DE SAN- TANDER,,Sí,C
COL0041615,GRUPO DE INVESTIGACIÓN RECOBRO MEJORADO,SAMUEL FER- NANDO MUÑOZ NA- VARRO,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS; INS- TITUTO COLOM- BIANO DEL PE- TRÓLEO,,Sí,A
COL0035019,EDUMAT UIS,JORGE ENRIQUE FIALLO LEAL,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS; UNIVERSIDAD DISTRI- TAL FRANCISCO JOSÉ DE CALDAS,,Sí,A
COL0014019,NEUROCIENCIAS Y COM- PORTAMIENTO UIS-UPB,CARLOS ARTURO CONDE COTES,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS; UNIVERSIDAD PONTI- FICIA BOLIVA- RIANA SECCIONAL BUCARAMANGA,,Sí,C
COL0026225,"DINÁMICA Y MANEJO DE ECOSISTEMAS MARINO-
COSTEROS",ADOLFO SANJUAN MUÑOZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A1
COL0043404,"INGENIERÍA DE PROCESOS Y SISTEMAS INDUSTRIA-
LES",LIGIA INÉS RODRÍ- GUEZ PIEDRAHITA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A1
COL0089163,MODELADO Y SIMULACION DE SISTEMAS,CARLOS RICARDO BOJACÁ ALDANA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A1
COL0010655,GRUPO DE LIMNOLOGÍA Y ECOLOGÍA ACUÁTICA,MICHAEL JOSEPH AHRENS,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0033999,"REFLEXIÓN Y CREACIÓN ARTÍSTICAS CONTEMPO-
RÁNEAS",ANA MARÍA CA- RREIRA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0041319,"POLÍTICA Y RELACIONES INTERNACIONALES CER-
CID",EGOITZ GAGO AN- TÓN,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0042944,"REDES AGROEMPRESA- RIALES Y TERRITORIO-
RAET",LENIS BLADIMIR GUAITERO DÍAZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0074438,COMUNICACIÓN - CUL- TURA - MEDIACIÓN,RAÚL ALBERTO ACOSTA PEÑA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0078698,"GRUPO INTERDISCIPLINA- RIO DE ESTUDIOS HISTÓ-
RICO-ECONÓMICOS","SALOMÓN KAL- MANOVITZ KRAU-
TER",UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,A
COL0022979,PROYECTO ARQUITECTÓ- NICO Y CIUDAD,VICTORIA EUGENIA MENA RODRÍGUEZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0033659,"MENTE, LENGUAJE Y SO- CIEDAD",EDINSON DOUGLAS NIÑO OCHOA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0052199,"PUBLICIDAD: SOCIEDAD, CULTURA Y CREATIVIDAD",VLADIMIR SÁNCHEZ RIAÑO,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0079309,ARTES PLÁSTICAS Y PEN- SAMIENTO POÉTICO,FELIPE ARTURO PÉ- REZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0079729,"GRUPO DE INVESTIGACIÓN EN TEORÍA Y POLITICA CO-
MERCIAL (GITPC)",DANILO TORRES REINA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0079739,ESTUDIOS DE LA IMAGEN,ALEJANDRO GUZ- MÁN RAMÍREZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0080293,"DISEÑO, PENSAMIENTO, CREACIÓN",EDGAR PATIÑO BA- RRETO,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0080533,DERECHO Y GLOBALIZA- CIÓN,"WILLIAM FER- NANDO MARTÍNEZ
LUNA",UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0171155,"GRUPO DE INVESTIGACIÓN EN ENERGÍA, AMBIENTE Y
DESARROLLO (EADE)",CARLOS ANDRÉS FORERO NÚÑEZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,B
COL0071069,"GRUPO DE ESTUDIOS EN TEORÍA FINANCIERA E IN-
VERSIONES (GETFIN)","LEONARDO GE- RARDO SANTANA
VILORIA",UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0082663,"REGIÓN, IDENTIDAD Y PA- TRIMONIO","INDIRA DE LA CON- CEPCIÓN ROMERO
PEÑARANDA",UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0107314,"GRUPO DE ESTUDIOS EN INFORMACIÓN CONTABLE
Y CONTROL","VICTOR MAURICIO CASTAÑEDA RODRÍ-
GUEZ",UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0159544,ID&SI,OLMER GARCIA BE- DOYA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0070232,BIOPROSPECCIÓN Y BIO- TECNOLOGÍA,MONICA PUYANA HEGEDUS,UNIVERSIDAD JORGE TADEO LO- ZANO,,No,Reconocido
COL0055245,"ADGEO -GRUPO DE ESTU- DIOS EN ADMINISTRACIÓN, GESTIÓN Y ORGANIZACIO-
NES",DIEGO ARMANDO MARÍN IDÁRRAGA,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0079013,"GRUPO INTERDISCIPLINA- RIO DE INVESTIGACIÓN EN CIENCIAS ECONÓMICAS, ADMINISTRATIVAS Y DE
SALUD -GICEAS-",CARLOS ALBERTO JAIMES,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0104742,"GRUPO DE ESTUDIOS EN EMPRENDIMIENTO, PROS- PECTIVA, PRODUCCIÓN, LOGÍSTICA Y TRANSPORTE
GEPLOTRA",GERMÁN ALFONSO PRIETO RODRÍ- GUEZ,UNIVERSIDAD JORGE TADEO LO- ZANO,,Sí,C
COL0041239,EDUCACION Y PEDAGOGIA,"ANA CECILIA OSO-
RIO CARDONA",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,B
COL0034129,"HÁBITAT TECNOLÓGICO Y
CONSTRUCCIÓN","JOSÉ ALCIDES RUIZ
HERNÁNDEZ",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0047575,"EDUCACIÓN DE VANGUAR-
DIA","ANA CECILIA OSO-
RIO CARDONA",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0075069,"REFORMA LABORAL Y
MUNDO DEL TRABAJO","EMILCE GARZÓN
PEÑA",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0075293,"DESARROLLO ECONOMICO
Y CALIDAD DE VIDA","HECTOR RENAN
SOTO CABALLERO",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0075309,"GESTIÓN SOCIAL Y COM-
PETITIVIDAD","TATIANA GIRALDO
PARDO",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0076156,"INGLES COMO MEDIACION
CULTURAL","JAVIER OSWALDO
MORENO CARO",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0098903,"ESTUDIOS INTERDISCIPLI-
NARES EN CONTABILIDAD","FABIAN ALBERTO
CASTIBLANCO RUIZ",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0102274,"DISEÑO Y GESTIÓN DEL
HÁBITAT TERRITORIAL","ANDREA BIBIANA
REYES GUARNIZO",UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0096838,HÁBITAT SOCIOCULTURAL,ANNA DIESCH,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,Reconocido
COL0075239,"TEORÍA DEL DERECHO, DE LA JUSTICIA Y DE LA POLÍ-
TICA",MARIO IVÁN URUEÑA SÁNCHEZ,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,B
COL0041749,"DESARROLLOS DE LA IN- GENIERIA  CIVIL EN Y PARA
AMBITOS URBANOS",ALBERTO SÁNCHEZ DE LA CALLE,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0075079,"DERECHO CONSTITUCIO- NAL, REFORMA DE LA AD- MINISTRACIÓN DE JUSTI- CIA Y BLOQUES DE CONS-
TITUCIONALIDAD",JORGE ENRIQUE CARVAJAL MARTÍ- NEZ,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0075328,"NEGOCIOS INTERNACIONALES Y COMERCIO
JUSTO",JUAN CARLOS RA- MOS MALLARINO,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0081709,"TENDENCIAS CONTABLES CONTEMPORÁNEAS: CON- TROL, GESTIÓN Y GOBER-
NABILIDAD",FABIÁN LEONARDO QUINCHE MARTÍN,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0081737,"FAMILIA, CONFLICTOS SO- CIALES Y PROYECCIÓN
SOCIAL",EDER MAYLOR CAI- CEDO FRAIDE,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0081755,"DERECHO PENAL E IMPLE-
MENTACIÓN DEL SISTEMA PENAL ACUSATORIO",HENRY TORRES VÁSQUEZ,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0081906,"VISIÓN FILOSÓFICA, TEO- LÓGICA, SOCIAL, POLÍTICA E INSTITUCIONAL DE LA
PRESIDENCIA",JOSÉ GALAT NOU- MER,UNIVERSIDAD LA GRAN COLOMBIA,,Sí,C
COL0040135,AGROINDUSTRIALIZACIÓN GIDA,LUIS MIGUEL MEJÍA GIRALDO,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,B
COL0058775,GESTIÓN DEL DESARRO- LLO,ERNESTO GOMEZ ECHEVERRI,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,B
COL0113287,GESTION EMPRESARIAL,LIBARDO CARLOS VARGAS TABORDA,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,B
COL0065439,PAIDEIA,BIBIANA VÉLEZ ME- DINA,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,C
COL0076595,"DERECHO, ESTADO Y CIU- DADANÍA",JULIANA SÁNCHEZ VALLEJO,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,C
COL0093961,"GESTIÓN CONTABLE, FI- NANCIERA Y TRIBUTARIA",MARLON DAVID GARCIA JIMENEZ,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,C
COL0127934,GERENCIA DE LA TIERRA,XIMENA CIFUENTES WCHIMA,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,C
COL0164919,TERRITORIO Y ARQUITEC- TURA SUSTENTABLE,YONIER CASTA- ÑEDA PEREZ,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA,,Sí,C
COL0005019,PEDAGOGÍA Y RESPONSA- BILIDAD SOCIAL UNIVERSI- TARIA,ADRIANA MARÍA ZU- LUAGA MONSALVE,UNIVERSIDAD LA GRAN COLOMBIA - SECCIONAL ARME- NIA - UGCA; COR- PORACIÓN UNIVERSITARIA EM- PRESARIAL ALE- XANDER VON HUMBOLDT,,Sí,C
COL0045768,"CONSTRUCTORES CONTA-
BLES","ALCIDES AVELLA-
NEDA BAUTISTA",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,A1
COL0016837,"GRUPO DE INVESTIGACIO-
NES SOCIOJURÍDICAS","SERGIO ROBERTO
MATIAS CAMARGO",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,A
COL0014396,FILOSOFIA POLITICA,"ELIAS CASTRO
BLANCO",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,B
COL0030219,DETECAL,"SALVADOR VARGAS
DÍAZ",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,B
COL0035725,"EDUCACIÒN FÌSICA Y
DESARROLLO HUMANO","PEDRO GALVIS
LEAL",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,B
COL0066329,TECNOAMBIENTAL,"ERNESTO TORRES
QUINTERO",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,B
COL0019721,"HUMANISMO SOCIEDAD Y
EDUCACION FISICA","LUIS HENRY GUE-
VARA VILLARRAGA",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,C
COL0153979,DIMATES,"ELISEO RAMÍREZ
RINCÓN",UNIVERSIDAD LI- BRE - BOGOTÁ,,Sí,C
COL0003309,"DERECHO PRIVADO Y DEL PROCESO «GUSTAVO VA-
NEGAS TORRES»",WALTER RENE CA- DENA AFANADOR,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,A
COL0016505,"DERECHO, SOCIEDAD Y ESTUDIOS INTERNACIONA-
LES","NORHY ESTHER TO- RREGROSA JIMÉ-
NEZ",UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,A
COL0035779,"DERECHO PENAL, DERE- CHO DISCIPLINARIO Y DE-
RECHOS HUMANOS",JOSÉ RORY FO- RERO SALCEDO,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,B
COL0017861,"INVESTIGACIÓN EDUCA- TIVA Y DESARROLLO PE-
DAGÓGICO EN INGENIERÍA",GLORIA ARCE NAR- VÁEZ,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0047708,"GRUPO DE INVESTIGACIÓN EN FILOSOFÍA Y TEORÍA JURÍDICA CONTEMPORÁ-
NEA",PABLO ELIAS GON- ZALEZ MONGUI,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0056779,"CIENCIA E INGENIERIA PARA EL DESARROLLO
SUSTENTABLE (CINDES)",SONIA LUCILA ME- NESES VELOSA,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0093166,"CON(S)-CIENCIA: ESTU- DIOS EN BIOÉTICA,  ECO- LOGÍA HUMANA Y ECOLO-
GÍA POLÍTICA.",DIANA MÁRIA RO- DRÍGUEZ GONZÁ- LEZ,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0115209,"INTERCULTURALIDAD, DE- COLONIALIDAD Y EDUCA-
CIÓN (IDE)",JAVIER GUERRERO RIVERA,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0155769,"GRUPO DE INVESTIGACIÓN DE LA UNIVERSIDAD LIBRE EN ESTUDIOS CONSTITU-
CIONALES Y DE LA PAZ",LILIANA ESTUPIÑAN ACHURY,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0160385,"ADMINISTRACIÓN, EM- PRENDIMIENTO Y EDUCA-
CIÓN",JAIME AUGUSTO PORRAS JIMENEZ,UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,C
COL0003267,"DERECHO LABORAL Y ES- TÁNDARES INTERNACIO-
NALES","FRANCISCO RA- FAEL OSTAU DE LA-
FONT DE LEON",UNIVERSIDAD LIBRE - BOGOTÁ,,Sí,Reconocido
COL0014251,"ESTADO, DERECHO Y TE- RRITORIO","JOSE EDUARDO RODRÍGUEZ MARTI-
NEZ",UNIVERSIDAD LIBRE - BOGOTÁ,,No,Reconocido
COL0043289,GESTIÓN Y APOYO A MIPY- MES,LUIS EDUARDO SUÁREZ BALA- GUERA,UNIVERSIDAD LIBRE - BOGOTÁ; UNIVERSIDAD LIBRE DE COLOMBIA - CALI,,Sí,C
COL0068459,"GESTIÓN, ORGANIZACIO- NES Y SOCIEDAD",JOSÉ ZACARÍAS MAYORGA SÁN- CHEZ,UNIVERSIDAD LIBRE - BOGOTÁ; UNIVERSIDAD LIBRE DE COLOMBIA - CÚCUTA,,Sí,C
COL0026038,"INVESTIGACIONES EN DE- RECHO COMERCIAL - IN-
COM",SANDRA IRINA VI- LLA VILLA,UNIVERSIDAD LIBRE DE COLOMBIA - BARRANQUILLA,,Sí,A
